avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,25.0,2.0,2.0,0.0,0.0,0.0,2d0d102feb4a2d28be3b192f4a95d8132b182055,0.0,1488994863.0,0.0,no,meta/main.yml,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,3.0,0.0,0.0,meta/main.yml,viasite-ansible/ansible-role-zsh,4.99,galaxi info author stanislav popov compani viasit descript ohmyzsh powerlevelk theme plugin licens mit min ansibl version platform name ubuntu version trusti xenial name debian version squeez wheezi name darwin version categori system shell user zsh ohmyzsh depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,2.0,2.0,0.0,0.0,0.0,2d0d102feb4a2d28be3b192f4a95d8132b182055,0.0,1488994863.0,0.0,no,tasks/configure.yml,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,32.0,3.0,0.0,0.0,tasks/configure.yml,viasite-ansible/ansible-role-zsh,4.23,name write path config templat src path dest zsh user config owner zsh user group zsh user group name set zsh default shell user name zsh user shell binzsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,2.0,0.0,0.0,0.0,2d0d102feb4a2d28be3b192f4a95d8132b182055,0.0,1488994863.0,0.0,no,tasks/main.yml,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,tasks/main.yml,viasite-ansible/ansible-role-zsh,3.57,includ path ansibl famili debian tag zsh instal includ path ansibl famili darwin tag zsh instal includ path tag zsh instal includ path tag zsh configur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,2.0,2.0,0.0,0.0,0.0,2d0d102feb4a2d28be3b192f4a95d8132b182055,0.0,1488994863.0,0.0,no,tasks/install-debian.yml,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0,0.0,0.0,tasks/install-debian.yml,viasite-ansible/ansible-role-zsh,4.09,name instal zsh git wget apt name item state present item zsh git wget name instal tmux apt name tmux state present tmux zsh plugin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,2.0,2.0,0.0,0.0,0.0,2d0d102feb4a2d28be3b192f4a95d8132b182055,0.0,1488994863.0,0.0,no,tasks/install-osx.yml,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0,0.0,0.0,tasks/install-osx.yml,viasite-ansible/ansible-role-zsh,4.09,name instal zsh git wget homebrew name item state present item zsh git wget name instal tmux homebrew name tmux state present tmux zsh plugin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,2.0,2.0,0.0,0.0,0.0,2d0d102feb4a2d28be3b192f4a95d8132b182055,0.0,1488994863.0,0.0,no,tasks/install.yml,0.0,11.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,191.0,12.0,0.0,1.0,tasks/install.yml,viasite-ansible/ansible-role-zsh,5.75,name clone ohmyzsh repo git repo http path dest zsh zsh path name check zsh version shell zsh version cut regist zsh regist version chang tag configur name remov zshsyntaxhighlight zsh set fact zsh plugin zsh plugin differ zshsyntaxhighlight zsh regist path version compar tag configur name clone zshsyntaxhighlight plugin git repo http path dest zsh custom path pluginszshsyntaxhighlight version zsh syntax highlight version zshsyntaxhighlight zsh plugin name clone zshautosuggest plugin git repo http path dest zsh custom path pluginszshautosuggest version zsh autosuggest version zshautosuggest zsh plugin name clone powerlevelk theme git repo http path dest zsh custom path themespowerlevelk version zsh powerlevelk version zsh theme powerlevelkpowerlevelk name clone commandtim plugin git repo http path dest zsh custom path pluginscommandtim commandtim zsh plugin name clone fzf plugin git repo http path dest zsh custom path pluginsfzf fzfzsh zsh plugin name instal fzf command zsh custom path pluginsfzfinstal keybind nocomplet noupdaterc arg creat zsh custom path pluginsfzfbinfzf fzfzsh zsh plugin name clone fzfzsh plugin git repo http path dest zsh custom path pluginsfzfzsh fzfzsh zsh plugin name set directori permiss file name zsh zsh path owner zsh user group zsh user group recurs ye chang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,25.0,2.0,2.0,0.0,0.0,0.0,3cd17d83f406f90ccbe442fa5b1b91cbd8ff6ca7,0.0,1489005870.0,0.0,no,meta/main.yml,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,3.0,0.0,0.0,meta/main.yml,viasite-ansible/ansible-role-zsh,4.99,galaxi info author stanislav popov compani viasit descript ohmyzsh powerlevelk theme plugin licens mit min ansibl version platform name ubuntu version trusti xenial name debian version squeez wheezi name darwin version categori system shell user zsh ohmyzsh depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,2.0,2.0,0.0,0.0,0.0,3cd17d83f406f90ccbe442fa5b1b91cbd8ff6ca7,0.0,1489005870.0,0.0,no,tasks/configure.yml,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,32.0,3.0,0.0,0.0,tasks/configure.yml,viasite-ansible/ansible-role-zsh,4.23,name write path config templat src path dest zsh user config owner zsh user group zsh user group name set zsh default shell user name zsh user shell binzsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,2.0,0.0,0.0,0.0,3cd17d83f406f90ccbe442fa5b1b91cbd8ff6ca7,0.0,1489005870.0,0.0,no,tasks/main.yml,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,tasks/main.yml,viasite-ansible/ansible-role-zsh,3.57,includ path ansibl famili debian tag zsh instal includ path ansibl famili darwin tag zsh instal includ path tag zsh instal includ path tag zsh configur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,2.0,2.0,0.0,0.0,0.0,3cd17d83f406f90ccbe442fa5b1b91cbd8ff6ca7,0.0,1489005870.0,0.0,no,tasks/install-debian.yml,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0,0.0,0.0,tasks/install-debian.yml,viasite-ansible/ansible-role-zsh,4.09,name instal zsh git wget apt name item state present item zsh git wget name instal tmux apt name tmux state present tmux zsh plugin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,2.0,2.0,0.0,0.0,0.0,3cd17d83f406f90ccbe442fa5b1b91cbd8ff6ca7,0.0,1489005870.0,0.0,no,tasks/install-osx.yml,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0,0.0,0.0,tasks/install-osx.yml,viasite-ansible/ansible-role-zsh,4.09,name instal zsh git wget homebrew name item state present item zsh git wget name instal tmux homebrew name tmux state present tmux zsh plugin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,2.0,2.0,0.0,0.0,0.0,3cd17d83f406f90ccbe442fa5b1b91cbd8ff6ca7,0.0,1489005870.0,0.0,no,tasks/install.yml,0.0,11.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,191.0,12.0,0.0,1.0,tasks/install.yml,viasite-ansible/ansible-role-zsh,5.75,name clone ohmyzsh repo git repo http path dest zsh zsh path name check zsh version shell zsh version cut regist zsh regist version chang tag configur name remov zshsyntaxhighlight zsh set fact zsh plugin zsh plugin differ zshsyntaxhighlight zsh regist path version compar tag configur name clone zshsyntaxhighlight plugin git repo http path dest zsh custom path pluginszshsyntaxhighlight version zsh syntax highlight version zshsyntaxhighlight zsh plugin name clone zshautosuggest plugin git repo http path dest zsh custom path pluginszshautosuggest version zsh autosuggest version zshautosuggest zsh plugin name clone powerlevelk theme git repo http path dest zsh custom path themespowerlevelk version zsh powerlevelk version zsh theme powerlevelkpowerlevelk name clone commandtim plugin git repo http path dest zsh custom path pluginscommandtim commandtim zsh plugin name clone fzf plugin git repo http path dest zsh custom path pluginsfzf fzfzsh zsh plugin name instal fzf command zsh custom path pluginsfzfinstal keybind nocomplet noupdaterc arg creat zsh custom path pluginsfzfbinfzf fzfzsh zsh plugin name clone fzfzsh plugin git repo http path dest zsh custom path pluginsfzfzsh fzfzsh zsh plugin name set directori permiss file name zsh zsh path owner zsh user group zsh user group recurs ye chang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,24.0,1.0,1.0,-1.0,-1.0,-1.0,81e565007a5f18bea296acea71f10f587042e239,1.0,1489080323.0,1.0,no,meta/main.yml,100.0,0.0,24.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,3.0,0.0,0.0,meta/main.yml,viasite-ansible/ansible-role-zsh,5.0,galaxi info author stanislav popov compani viasit descript ohmyzsh powerlevelk theme plugin licens mit min ansibl version platform name ubuntu version trusti xenial name debian version squeez wheezi name mac osx version galaxi tag system shell user zsh depend,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.01
0.0,6.0,1.0,1.0,1.0,1.0,1.0,81e565007a5f18bea296acea71f10f587042e239,1.0,1489080323.0,1.0,no,tasks/configure.yml,100.0,2.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,34.0,3.0,0.0,0.0,tasks/configure.yml,viasite-ansible/ansible-role-zsh,4.36,name write path config templat src path dest zsh user config owner zsh user group zsh user group backup ye name set zsh default shell user name zsh user shell binzsh,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.13
0.0,4.0,1.0,1.0,0.0,0.0,0.0,81e565007a5f18bea296acea71f10f587042e239,0.0,1489080323.0,0.0,no,tasks/main.yml,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,tasks/main.yml,viasite-ansible/ansible-role-zsh,3.57,includ path ansibl famili debian tag zsh instal includ path ansibl famili darwin tag zsh instal includ path tag zsh instal includ path tag zsh configur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,1.0,1.0,0.0,0.0,0.0,81e565007a5f18bea296acea71f10f587042e239,0.0,1489080323.0,0.0,no,tasks/install-debian.yml,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0,0.0,0.0,tasks/install-debian.yml,viasite-ansible/ansible-role-zsh,4.09,name instal zsh git wget apt name item state present item zsh git wget name instal tmux apt name tmux state present tmux zsh plugin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,1.0,1.0,0.0,0.0,0.0,81e565007a5f18bea296acea71f10f587042e239,0.0,1489080323.0,0.0,no,tasks/install-osx.yml,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0,0.0,0.0,tasks/install-osx.yml,viasite-ansible/ansible-role-zsh,4.09,name instal zsh git wget homebrew name item state present item zsh git wget name instal tmux homebrew name tmux state present tmux zsh plugin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1.0,1.0,0.0,0.0,0.0,81e565007a5f18bea296acea71f10f587042e239,0.0,1489080323.0,0.0,no,tasks/install.yml,0.0,11.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,191.0,12.0,0.0,1.0,tasks/install.yml,viasite-ansible/ansible-role-zsh,5.75,name clone ohmyzsh repo git repo http path dest zsh zsh path name check zsh version shell zsh version cut regist zsh regist version chang tag configur name remov zshsyntaxhighlight zsh set fact zsh plugin zsh plugin differ zshsyntaxhighlight zsh regist path version compar tag configur name clone zshsyntaxhighlight plugin git repo http path dest zsh custom path pluginszshsyntaxhighlight version zsh syntax highlight version zshsyntaxhighlight zsh plugin name clone zshautosuggest plugin git repo http path dest zsh custom path pluginszshautosuggest version zsh autosuggest version zshautosuggest zsh plugin name clone powerlevelk theme git repo http path dest zsh custom path themespowerlevelk version zsh powerlevelk version zsh theme powerlevelkpowerlevelk name clone commandtim plugin git repo http path dest zsh custom path pluginscommandtim commandtim zsh plugin name clone fzf plugin git repo http path dest zsh custom path pluginsfzf fzfzsh zsh plugin name instal fzf command zsh custom path pluginsfzfinstal keybind nocomplet noupdaterc arg creat zsh custom path pluginsfzfbinfzf fzfzsh zsh plugin name clone fzfzsh plugin git repo http path dest zsh custom path pluginsfzfzsh fzfzsh zsh plugin name set directori permiss file name zsh zsh path owner zsh user group zsh user group recurs ye chang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,27.0,2.0,3.0,3.0,3.0,3.0,26986970fb9eade920fb15c7091433afa3dbb918,1.0,1489163037.0,1.0,no,meta/main.yml,100.0,0.0,27.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,4.0,0.0,0.0,meta/main.yml,viasite-ansible/ansible-role-zsh,5.01,galaxi info author stanislav popov compani viasit descript ohmyzsh powerlevelk theme plugin licens mit min ansibl version platform name ubuntu version trusti xenial name debian version squeez wheezi name version name mac osx version galaxi tag system shell user zsh depend,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.01
0.0,6.0,2.0,3.0,15.0,15.0,15.0,26986970fb9eade920fb15c7091433afa3dbb918,1.0,1489163037.0,1.0,no,tasks/install-redhat.yml,100.0,1.0,13.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0,0.0,0.0,tasks/install-redhat.yml,viasite-ansible/ansible-role-zsh,4.09,name instal zsh git wget yum name item state present item zsh git wget name instal tmux yum name tmux state present tmux zsh plugin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,3.0,0.0,0.0,0.0,26986970fb9eade920fb15c7091433afa3dbb918,0.0,1489163037.0,0.0,no,tasks/configure.yml,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,34.0,3.0,0.0,0.0,tasks/configure.yml,viasite-ansible/ansible-role-zsh,4.36,name write path config templat src path dest zsh user config owner zsh user group zsh user group backup ye name set zsh default shell user name zsh user shell binzsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,2.0,3.0,4.0,4.0,4.0,26986970fb9eade920fb15c7091433afa3dbb918,1.0,1489163037.0,1.0,no,tasks/main.yml,100.0,5.0,13.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,0.0,0.0,0.0,tasks/main.yml,viasite-ansible/ansible-role-zsh,3.67,includ path ansibl famili debian tag zsh instal includ path ansibl famili red hat tag zsh instal includ path ansibl famili darwin tag zsh instal includ path tag zsh instal includ path tag zsh configur,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.1
0.0,6.0,2.0,3.0,0.0,0.0,0.0,26986970fb9eade920fb15c7091433afa3dbb918,0.0,1489163037.0,0.0,no,tasks/install-debian.yml,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0,0.0,0.0,tasks/install-debian.yml,viasite-ansible/ansible-role-zsh,4.09,name instal zsh git wget apt name item state present item zsh git wget name instal tmux apt name tmux state present tmux zsh plugin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
